Sl. No.,value of x,Abs_error
1,1.6,--
2,-3682.908565644434,3684.508565644434
3,-1661.0498985905533,2021.8586670538807
4,-713.769445317172,947.2804532733813
5,1017.7734534433104,1731.5428987604823
6,93.94048037116443,923.8329730721459
7,21.085252830597895,72.85522754056653
8,-75.00057715679011,96.08582998738801
9,45.89038317130476,120.89096032809488
10,-762.6749269496864,808.5653101209912
11,-305.24291297855603,457.4320139711304
12,291.4614748167393,596.7043877952954
13,-537.3983006559495,828.8597754726889
14,122.6225898000547,660.0208904560042
15,12.086830887831624,110.53575891222307
16,3.2088537461548707,8.877977141676753
17,1.1369903477170955,2.0718633984377752
18,-15.675789279216595,16.81277962693369
19,0.4797599754788635,16.155549254695458
20,-2.0588359636642424,2.538595939143106
21,-0.7166209169116999,1.3422150467525424
22,-0.7391992068721703,0.0225782899604704
23,-0.7390851360776651,0.00011407079450520552
24,-0.7390851332151612,2.8625039005802932e-09
